102    1.77E-04    1.77E-04    1.77E-04    1.77E-04    1.77E-04    1.77E-04    1.77E-04    1.77E-04
103    1.81E-04    1.81E-04    1.81E-04    1.81E-04    1.81E-04    1.81E-04    1.81E-04    1.81E-04
104    1.86E-04    1.86E-04    1.86E-04    1.86E-04    1.86E-04    1.86E-04    1.86E-04    1.86E-04
105    1.90E-04    1.90E-04    1.90E-04    1.90E-04    1.90E-04    1.90E-04    1.90E-04    1.90E-04
106    1.77E-05    1.77E-05    1.77E-05    1.77E-05    1.77E-05    1.77E-05    1.77E-05    1.77E-05
107    1.81E-05    1.81E-05    1.81E-05    1.81E-05    1.81E-05    1.81E-05    1.81E-05    1.81E-05
108    1.85E-05    1.85E-05    1.85E-05    1.85E-05    1.85E-05    1.85E-05    1.85E-05    1.85E-05
109    1.90E-05    1.90E-05    1.90E-05    1.90E-05    1.90E-05    1.90E-05    1.90E-05    1.90E-05
110    1.95E-05    1.95E-05    1.95E-05    1.95E-05    1.95E-05    1.95E-05    1.95E-05    1.95E-05
111    1.99E-05    1.99E-05    1.99E-05    1.99E-05    1.99E-05    1.99E-05    1.99E-05    1.99E-05
112    2.04E-05    2.04E-05    2.04E-05    2.04E-05    2.04E-05    2.04E-05    2.04E-05    2.04E-05
113    2.09E-05    2.09E-05    2.09E-05    2.09E-05    2.09E-05    2.09E-05    2.09E-05    2.09E-05
114    2.14E-05    2.14E-05    2.14E-05    2.14E-05    2.14E-05    2.14E-05    2.14E-05    2.14E-05
115    2.19E-05    2.19E-05    2.19E-05    2.19E-05    2.19E-05    2.19E-05    2.19E-05    2.19E-05
116    2.25E-05    2.25E-05    2.25E-05    2.25E-05    2.25E-05    2.25E-05    2.25E-05    2.25E-05
117    2.30E-05    2.30E-05    2.30E-05    2.30E-05    2.30E-05    2.30E-05    2.30E-05    2.30E-05
118    2.36E-05    2.36E-05    2.36E-05    2.36E-05    2.36E-05    2.36E-05    2.36E-05    2.36E-05
119    2.42E-05    2.42E-05    2.42E-05    2.42E-05    2.42E-05    2.42E-05    2.42E-05    2.42E-05
120    2.47E-05    2.47E-05    2.47E-05    2.47E-05    2.47E-05    2.47E-05    2.47E-05    2.47E-05
121    2.53E-05    2.53E-05    2.53E-05    2.53E-05    2.53E-05    2.53E-05    2.53E-05    2.53E-05
